Total,Delayed,Cancelled,Problematic,PathName
1812,144,14,158,BFL->LAX
2388,216,30,246,BFL->PHX
450,42,6,48,BFL->SAN
1886,382,38,420,BFL->SFO
742,30,0,30,BFL->SLC
454,10,2,12,BFL->SMF
1456,216,56,272,BGM->DTW
540,196,22,218,BGR->ATL
1586,334,56,390,BGR->BOS
2,2,0,2,BGR->BTV
258,66,4,70,BGR->CVG
1602,264,40,304,BGR->DTW
1072,414,44,458,BGR->EWR
676,210,18,228,BGR->JFK
22,4,0,4,BGR->MSP
5752,1174,84,1258,BHM->ATL
2,2,0,2,BHM->AUS
1392,166,2,168,BHM->BNA
2076,340,0,340,BHM->BWI
528,74,0,74,BHM->CLE
1572,344,58,402,BHM->CLT
1196,208,10,218,BHM->CVG
2148,320,4,324,BHM->DAL
1332,364,14,378,BHM->DEN
2574,512,62,574,BHM->DFW
1784,282,46,328,BHM->DTW
1336,414,50,464,BHM->EWR
1446,262,26,288,BHM->HOU
2,0,0,0,BHM->HSV
490,124,10,134,BHM->IAD
4690,836,72,908,BHM->IAH
732,130,4,134,BHM->JAX
2,2,0,2,BHM->JFK
732,116,0,116,BHM->LAS
1680,486,104,590,BHM->LGA
2392,254,10,264,BHM->MCO
1418,174,8,182,BHM->MDW
1772,272,30,302,BHM->MEM
2,0,0,0,BHM->MKE
2016,356,26,382,BHM->MSY
2994,1196,146,1342,BHM->ORD
732,84,0,84,BHM->PHX
318,18,4,22,BHM->RDU
1358,206,0,206,BHM->SDF
16,14,0,14,BHM->SLC
732,54,0,54,BHM->STL
2142,460,0,460,BHM->TPA
3256,444,44,488,BIL->DEN
2,0,0,0,BIL->GTF
1640,112,4,116,BIL->MSP
206,58,2,60,BIL->ORD
6,0,0,0,BIL->PIH
3900,286,32,318,BIL->SLC
2478,364,30,394,BIS->DEN
2104,312,52,364,BIS->MSP
4,0,0,0,BIS->RAP
148,12,2,14,BJI->MSP
240,8,2,10,BLI->SLC
5022,1142,102,1244,BMI->ATL
120,46,4,50,BMI->DFW
100,4,0,4,BMI->LAS
346,58,0,58,BMI->MCO
4014,914,344,1258,BMI->ORD
6194,1330,98,1428,BNA->ATL
1590,414,0,414,BNA->AUS
730,156,0,156,BNA->BDL
1376,256,0,256,BNA->BHM
156,64,2,66,BNA->BOS
5004,822,10,832,BNA->BWI
2,2,0,2,BNA->CID
2294,452,18,470,BNA->CLE
4254,484,52,536,BNA->CLT
1354,266,4,270,BNA->CMH
2,0,0,0,BNA->COS
1538,196,26,222,BNA->CVG
2806,456,74,530,BNA->DCA
5058,1054,14,1068,BNA->DEN
5718,928,156,1084,BNA->DFW
5416,922,46,968,BNA->DTW
3672,1128,164,1292,BNA->EWR
1476,326,0,326,BNA->FLL
4,2,0,2,BNA->FSD
3008,608,52,660,BNA->HOU
836,288,18,306,BNA->IAD
5044,882,90,972,BNA->IAH
2764,540,12,552,BNA->JAX
1046,206,44,250,BNA->JFK
2404,440,4,444,BNA->LAS
2800,654,18,672,BNA->LAX
2432,798,80,878,BNA->LGA
2604,502,4,506,BNA->MCI
3596,618,12,630,BNA->MCO
5986,1038,58,1096,BNA->MDW
2040,324,44,368,BNA->MEM
1462,172,14,186,BNA->MIA
1544,264,32,296,BNA->MKE
1570,226,22,248,BNA->MSP
2024,380,24,404,BNA->MSY
726,204,0,204,BNA->OAK
730,196,0,196,BNA->ONT
7450,2178,306,2484,BNA->ORD
472,82,0,82,BNA->ORF
1960,492,4,496,BNA->PHL
2248,418,2,420,BNA->PHX
732,156,0,156,BNA->PVD
3246,696,2,698,BNA->RDU
1442,280,8,288,BNA->SAN
1354,316,2,318,BNA->SAT
728,208,2,210,BNA->SEA
230,56,4,60,BNA->SLC
516,82,50,132,BNA->STL
3440,592,10,602,BNA->TPA
82,2,0,2,BOI->ATL
2,0,0,0,BOI->ATW
4128,620,24,644,BOI->DEN
2084,338,22,360,BOI->GEG
2,0,0,0,BOI->GJT
1512,166,4,170,BOI->LAS
